zentriert,bilderrahmen-fixed src,hauptlink,hauptlink href,inline-table,zentriert 2,app,zentriert href,goal,assist,rechts,owngoal,period
11,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Widodo Cahyono Putro,https://www.transfermarkt.us/widodo-cahyono-putro/profil/spieler/805064,Centre-Forward,54,55,https://www.transfermarkt.us/putro/nationalmannschaft/spieler/805064,14,26-Nov-91,21 years 18 days,1-Jun-97,26-Nov-91/01-Jun-97
39,https://img.a.transfermarkt.technology/portrait/medium/148088-1629699646.jpg?lm=1,Boaz Solossa,https://www.transfermarkt.us/boaz-solossa/profil/spieler/148088,Left Winger,12,48,https://www.transfermarkt.us/solossa/nationalmannschaft/spieler/148088,14,30-Mar-04,18 years 14 days,11-Sep-18,30-Mar-04/11-Sep-18
13,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Uston Nawawi,https://www.transfermarkt.us/uston-nawawi/profil/spieler/891039,Attacking Midfield,47,47,https://www.transfermarkt.us/nawawi/nationalmannschaft/spieler/891039,13,14-Sep-97,20 years 08 days,18-Feb-04,14-Sep-97/18-Feb-04
14,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Fakhri Husaini,https://www.transfermarkt.us/fakhri-husaini/profil/spieler/891038,Attacking Midfield,59,42,https://www.transfermarkt.us/husaini/nationalmannschaft/spieler/891038,13,7-Aug-88,23 years 11 days,7-Jun-91,07-Aug-88/07-Jun-91
15,https://img.a.transfermarkt.technology/portrait/medium/206852-1662706193.jpg?lm=1,Cristian Gonzáles,https://www.transfermarkt.us/cristian-gonzales/profil/spieler/206852,Centre-Forward,48,32,https://www.transfermarkt.us/gonzales/nationalmannschaft/spieler/206852,13,21-Nov-10,34 years 02 months 22 days,30-Mar-15,21-Nov-10/30-Mar-15
16,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Ilham Jaya Kesuma,https://www.transfermarkt.us/ilham-jaya-kesuma/profil/spieler/326296,Striker,46,18,https://www.transfermarkt.us/jaya-kesuma/nationalmannschaft/spieler/326296,13,8-Sep-04,25 years 11 months 20 days,29-Mar-05,08-Sep-04/29-Mar-05
17,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Bima Sakti,https://www.transfermarkt.us/bima-sakti/profil/spieler/606475,Central Midfield,49,58,https://www.transfermarkt.us/sakti/nationalmannschaft/spieler/606475,12,4-Dec-95,19 years 10 months 11 days,1-Jun-97,04-Dec-95/01-Jun-97
30,https://img.a.transfermarkt.technology/portrait/medium/473377-1699937213.jpeg?lm=1,Evan Dimas,https://www.transfermarkt.us/evan-dimas/profil/spieler/473377,Central Midfield,18,43,https://www.transfermarkt.us/dimas/nationalmannschaft/spieler/473377,11,28-Nov-14,19 years 08 months 15 days,27-Jan-22,28-Nov-14/27-Jan-22
36,https://img.a.transfermarkt.technology/portrait/medium/68944-1663741693.png?lm=1,Irfan Bachdim,https://www.transfermarkt.us/irfan-bachdim/profil/spieler/68944,Right Winger,19,40,https://www.transfermarkt.us/bachdim/nationalmannschaft/spieler/68944,11,21-Nov-10,22 years 03 months 10 days,15-Oct-19,21-Nov-10/15-Oct-19
20,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Ramang,https://www.transfermarkt.us/ramang/profil/spieler/561846,Centre-Forward,0,18,https://www.transfermarkt.us/ramang/nationalmannschaft/spieler/561846,10,25-Apr-53,29 years 01 day,2-Jun-57,25-Apr-53/02-Jun-57
44,https://img.a.transfermarkt.technology/portrait/medium/55485-1621345030.jpg?lm=1,Beto,https://www.transfermarkt.us/beto/profil/spieler/55485,Centre-Forward,21,12,https://www.transfermarkt.us/goncalves-da-costa/nationalmannschaft/spieler/55485,10,10-Oct-18,37 years 09 months 09 days,15-Oct-19,10-Oct-18/15-Oct-19
23,https://img.a.transfermarkt.technology/portrait/medium/630444-1705465856.png?lm=1,Witan,https://www.transfermarkt.us/witan/profil/spieler/630444,Left Winger,22,46,https://www.transfermarkt.us/sulaeman/nationalmannschaft/spieler/630444,9,29-May-21,19 years 07 months 21 days,15-Nov-24,29-May-21/15-Nov-24
23,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Elie Aiboy,https://www.transfermarkt.us/elie-aiboy/profil/spieler/201632,Right Winger,45,48,https://www.transfermarkt.us/aiboy/nationalmannschaft/spieler/201632,8,13-May-01,22 years 23 days,10-Sep-12,13-May-01/10-Sep-12
24,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Ansyari Lubis,https://www.transfermarkt.us/ansyari-lubis/profil/spieler/892590,Attacking Midfield,54,30,https://www.transfermarkt.us/lubis/nationalmannschaft/spieler/892590,8,4-Dec-95,25 years 04 months 05 days,1-Jun-97,04-Dec-95/01-Jun-97
24,https://img.a.transfermarkt.technology/portrait/medium/548371-1739596759.png?lm=1,Egy Maulana Vikri,https://www.transfermarkt.us/egy-maulana-vikri/profil/spieler/548371,Right Winger,25,27,https://www.transfermarkt.us/maulana-vikri/nationalmannschaft/spieler/548371,8,14-Jan-18,17 years 06 months 07 days,5-Sep-24,14-Jan-18/05-Sep-24
