profile_url,name,jersey_name,full_name,date_of_birth,,place_of_birth,,,,
https://www.transfermarkt.us/jack-hughes/profil/spieler/604903,Jack Hughes,Hughes,,,,,,,,
https://www.transfermarkt.us/scott-chipperfield/profil/spieler/2894,Scott Chipperfield,Chipperfield,,30-Dec-75,,Wollongong,,,,
https://www.transfermarkt.us/mitchell-duke/profil/spieler/177775,Mitchell Duke,Duke,,18-Jan-91,,Liverpool,,,,
https://www.transfermarkt.us/jackson-irvine/profil/spieler/192557,Jackson Irvine,Irvine,,7-Mar-93,,Melbourne,,,,
https://www.transfermarkt.us/dave-harding/profil/spieler/143082,Dave Harding,Harding,,14-Aug-46,,Liverpool,,,,
https://www.transfermarkt.us/mark-viduka/profil/spieler/3242,Mark Viduka,Viduka,,9-Oct-75,,Melbourne,,,,
https://www.transfermarkt.us/harry-souttar/profil/spieler/298091,Harry Souttar,Souttar,Harry James Souttar,22-Oct-98,,Aberdeen,,,,
https://www.transfermarkt.us/dave-mitchell/profil/spieler/110321,Dave Mitchell,Mitchell,David Stuart Mitchell,13-Jun-62,,Glasgow,,,,
https://www.transfermarkt.us/kris-trajanovski/profil/spieler/202162,Kris Trajanovski,Trajanovski,,19-Feb-72,,"Geelong, Victoria",,,,
https://www.transfermarkt.us/tom-rogic/profil/spieler/213672,Tom Rogic,Rogic,Tomas Petar Rogic,16-Dec-92,,Griffith,,,,
https://www.transfermarkt.us/kevin-muscat/profil/spieler/9409,Kevin Muscat,Muscat,Kevin Vincent Muscat,7-Aug-73,,Crawley,,,,
https://www.transfermarkt.us/paul-agostino/profil/spieler/545,Paul Agostino,Agostino,,9-Jun-75,,Adelaide,,,,
https://www.transfermarkt.us/josip-skoko/profil/spieler/7266,Josip Skoko,Skoko,,10-Dec-75,,Mount Gambier,,,,
https://www.transfermarkt.us/johnny-warren/profil/spieler/614573,Johnny Warren,Warren,John Norman Warren,17-May-43,,Randwick,,,,
https://www.transfermarkt.us/martin-boyle/profil/spieler/140554,Martin Boyle,Boyle,,25-Apr-93,,Aberdeen,,,,
https://www.transfermarkt.us/awer-mabil/profil/spieler/255729,Awer Mabil,Mabil,Awer Bul Mabil,15-Sep-95,,Kakuma,,,,
https://www.transfermarkt.us/craig-foster/profil/spieler/202139,Craig Foster,Foster,Craig Andrew Foster,15-Apr-69,,Lismore,,,,
https://www.transfermarkt.us/carl-veart/profil/spieler/43111,Carl Veart,Veart,,21-May-70,,Whyalla,,,,
https://www.transfermarkt.us/luke-wilkshire/profil/spieler/3321,Luke Wilkshire,Wilkshire,,2-Oct-81,,Wollongong,,,,
https://www.transfermarkt.us/tony-popovic/profil/spieler/14058,Tony Popovic,Popovic,,4-Jul-73,,Sydney,,,,
https://www.transfermarkt.us/brett-holman/profil/spieler/21496,Brett Holman,Holman,Brett Trevor Holman,27-Mar-84,,Bankstown,,,,
https://www.transfermarkt.us/mile-sterjovski/profil/spieler/5656,Mile Sterjovski,Sterjovski,???? ??????????,27-May-79,,Wollongong,,,,
https://www.transfermarkt.us/tomi-juric/profil/spieler/171820,#9 Tomi Juric,Juric,,22-Jul-91,,"Auburn, New South ...",,,,
https://www.transfermarkt.us/jamie-maclaren/profil/spieler/173591,#29 Jamie Maclaren,Maclaren,,29-Jul-93,,Melbourne,,,,
https://www.transfermarkt.us/peter-sharne/profil/spieler/625532,Peter Sharne,Sharne,,22-Mar-56,,,,,,
https://www.transfermarkt.us/tommy-mccoll/profil/spieler/615262,Tommy McColl,McColl,Thomas Gunn McColl,19-Sep-45,,Glasgow,,,,
https://www.transfermarkt.us/alec-cameron/profil/spieler/604919,Alec Cameron,Cameron,,,,,,,,
